,name,rating,reviews,cinfo
2344,ABP Group,3.4,287,Printing & Publishing | 1k-5k Employees | 101 years old | Kolkata +19 more
2345,Myk Laticrete,4.2,287,Building Material | 1k-5k Employees | 23 years old | Hyderabad/Secunderabad +45 more
2346,Aarti Drugs,3.9,287,Pharma | 201-500 Employees | Public | 39 years old | Mumbai +10 more
2347,Bhagwati Products,3.8,287,Consumer Electronics & Appliances | 11-50 Employees | Public | 21 years old | Delhi/NCR +15 more
2348,Dana India,4.1,287,Automobile | 1k-5k Employees | 119 years old | Maumee +15 more
2349,Wirpo Technologies,3.7,287,IT Services & Consulting | 1 Lakh+ Employees (Global) | Bengaluru/Bangalore +20 more
2350,Ingersoll Rand,4,286,Industrial Machinery | 501-1k Employees | Public | 51 years old | Dublin +25 more
2351,IFFCO Kisan Sanchar,3.4,286,Agro Chemicals | 501-1k Employees | 16 years old | Delhi/NCR +60 more
2352,Uniparts Group,4.2,286,Industrial Machinery | 501-1k Employees | 39 years old | Noida +16 more
2353,Infosys Consulting,3.7,286,IT Services & Consulting | 1k-5k Employees | 19 years old | Zurich +25 more
2354,Ujjivan Financial Services,4.4,286,Bengaluru/Bangalore +105 more
2355,Cosmo Films,3.9,286,Packaging | 1k-5k Employees | Public | 42 years old | Delhi/NCR +8 more
2356,Grey Orange,3.2,286,Software Product | 501-1k Employees | 12 years old | Gurgaon +9 more
2357,PC Solutions,3.9,285,IT Services & Consulting | 201-500 Employees | 35 years old | New Delhi +15 more
2358,Publicis,3.7,285,Marketing & Advertising | 10k-50k Employees | Forbes Global 2000 | 97 years old | Paris +15 more
2359,People Group,3.7,285,Internet | 1k-5k Employees | 27 years old | Mumbai +27 more
2360,Broadcom,3.6,285,Semiconductors | 1k-5k Employees | Forbes Global 2000 | 47 years old | San Jose +8 more
2361,"Ministry Of Health, New Delhi",4.4,285,Healthcare | 10k-50k Employees | Public | 47 years old | Delhi/NCR +46 more
2362,Harjai Computers,4.1,285,Recruitment | 201-500 Employees | 28 years old | Mumbai +11 more
2363,Methodex,3.9,285,Law Enforcement & Security | 1k-5k Employees | 63 years old | Delhi/NCR +44 more
2364,Vatika Group,4,285,Hospitality | 1k-5k Employees (Global) | 37 years old | Gurgaon +12 more
2365,Elecon Engineering,4.2,285,Electrical Equipment | 501-1k Employees | Public | 72 years old | Gujrat +20 more
2366,Invesco,4.1,284,Management Consulting | 1k-5k Employees | Forbes Global 2000 | 88 years old | Atlanta +6 more
2367,Johnson Controls Hitachi Air Conditioning,3.8,284,Consumer Electronics & Appliances | Kadi +32 more
2368,SOLAR INDUSTRIES INDIA,3.8,284,Chemicals | 1k-5k Employees | Public | 28 years old | Nagpur +29 more
2369,Symbiotec Pharmalab,3.7,284,Pharma | 51-200 Employees | 29 years old | Indore +6 more
2370,Jyoti CNC Automation,3.9,284,Industrial Machinery | 501-1k Employees | Public | 34 years old | Rajkot +26 more
2371,Bussan Auto Finance,4.5,284,Financial Services | 201-500 Employees | 89 years old | New Delhi +43 more
2372,Fuji Electric,4,284,Industrial Machinery | 1k-5k Employees | 100 years old | Tokyo +31 more
2373,Sunwoda,4.2,283,Electronics Manufacturing | 201-500 Employees | 26 years old | Greater Noida +4 more
2374,Macquarie Group,3.6,283,Financial Services | 1k-5k Employees | Forbes Global 2000 | 54 years old | Sydney +9 more
2375,NetApp,3.9,283,IT Services & Consulting | 1k-5k Employees | Forbes Global 2000 | 31 years old | San Jose +5 more
2376,Wonderla Holidays,4.6,283,Hospitality | 501-1k Employees | Public | 23 years old | Bangalore/Bengaluru +12 more
2377,Aditya Birla Minacs,4.4,283,IT Services & Consulting | 10k-50k Employees | 42 years old | Bellandur +11 more
2378,Kogta Financial,4.3,283,NBFC | 1k-5k Employees | Public | 27 years old | Jaipur +86 more
2379,VDA Infosolutions,3.6,283,IT Services & Consulting | 201-500 Employees | 13 years old | Mumbai +24 more
2380,Brigade Group,4.1,283,Real Estate | 501-1k Employees | Public | 37 years old | Bangalore/Bengaluru +8 more
2381,Aster Dm Healthcare,3.7,283,Healthcare | 1k-5k Employees | Public | 36 years old | Dubai +26 more
2382,Kogta Financial,4.3,283,NBFC | 1k-5k Employees | Public | 27 years old | Jaipur +86 more
2383,Aditya Birla Minacs,4.4,283,IT Services & Consulting | 10k-50k Employees | 42 years old | Bellandur +11 more
2384,Kcc Buildcon,4.1,283,Engineering & Construction | 201-500 Employees | 14 years old | Gurgaon/Gurugram +45 more
2385,Sunwoda,4.2,283,Electronics Manufacturing | 201-500 Employees | 26 years old | Greater Noida +4 more
2386,Time Technoplast,3.6,282,1k-5k Employees | Public | 31 years old | Mumbai +28 more
2387,India Glycols,4,282,Chemicals | 1k-5k Employees | Public | 40 years old | Noida +12 more
2388,Jubilant Agri and Consumer Products,4.1,282,Chemicals | 501-1k Employees | 13 years old | Gurgaon/Gurugram +52 more
2389,XL Health,4.3,282,Insurance | 11-50 Employees | 26 years old | Bangalore/Bengaluru +3 more
2390,Gilbarco Veeder Root,3.7,282,Industrial Machinery | 201-500 Employees | 158 years old | Greensboro +37 more
2391,Eisai Pharmaceuticals,4.2,282,Pharma | 51-200 Employees | Public | 19 years old | Tokyo +17 more
2392,Global Healthcare Billing Partners,3.5,282,BPO | 1k-5k Employees | 24 years old | Chennai +3 more
